blk_no,street,postal_code,name,lat,lon
275,SIXTH AVENUE,276564,DYNASTY GARDEN,1.32332791091667,103.792045625242
275A,SIXTH AVENUE,276564,DYNASTY GARDEN,1.32332791091667,103.792045625242
275B,SIXTH AVENUE,276564,DYNASTY GARDEN,1.32332791091667,103.792045625242
570,SIXTH AVENUE,276645,MING TECK PARK,1.31843499965199,103.787955243153
22,MOUNT SINAI RISE,276948,MOUNT SINAI,1.316607342747,103.780908065782
25,MOUNT SINAI RISE,276951,MOUNT SINAI,1.3168971747949,103.780644640392
28,JALAN TENANG,277961,MCMAHON PARK,1.31744622759483,103.786444800496
1,HOLLAND AVENUE,278965,WILLYN VILLE,1.31186101124359,103.796458882542
25,GROVE DRIVE,279065,HENRY PARK,1.31324540809153,103.78335720859
43,GREENLEAF VIEW,279282,BAN GUAN PARK,1.32231741667707,103.785680774368
11,GREENLEAF LANE,279470,BAN GUAN PARK,1.32150136660631,103.787360666407
14,BUKIT SEDAP ROAD,279914,NIL,1.31988338570399,103.784830563569
11,ANAMALAI AVENUE,279982,NIL,1.33127066744046,103.794671600922
11B,ANAMALAI AVENUE,279984,NIL,1.33127066771419,103.79467160065
17,ANAMALAI AVENUE,279986,NIL,1.33093866284492,103.794773846295
20,GREENWOOD LANE,286948,THE GREENWOOD,1.33643156818082,103.805680532131
9,GREENWOOD LANE,287000,THE GREENWOOD,1.33672665982589,103.805362815042
66,WATTEN RISE,287381,WATTEN ESTATE,1.32789860632971,103.810607115044
1,WATTEN HEIGHTS,287443,WATTEN ESTATE,1.33150495935297,103.808711699962
14,WATTEN CLOSE,287736,WATTEN ESTATE,1.32778490855604,103.808888754101
34,TURF CLUB ROAD,287977,NIL,1.33553662245529,103.79821229537
42,ORIOLE CRESCENT,288634,RAFFLES PARK,1.33285502535668,103.804596910596
88,HILLCREST ROAD,288963,HILLCREST PARK,1.33182471429199,103.807948992195
91,HILLCREST ROAD,288965,HILLCREST PARK,1.33295843909268,103.807982866772
110,HILLCREST ROAD,288978,HILLCREST PARK,1.33271403645814,103.808307093089
113,HILLCREST ROAD,288981,HILLCREST PARK,1.33392907512164,103.807956729554
140,HILLCREST ROAD,289010,HILLCREST PARK,1.33349502319286,103.808357522435
145,HILLCREST ROAD,289015,HILLCREST PARK,1.33493627340486,103.807386782921
153,HILLCREST ROAD,289023,HILLCREST PARK,1.33524239167071,103.807571861591
38,GREENWOOD AVENUE,289242,NIL,1.3319575146725,103.806407562805
38,GREENWOOD AVENUE,289242,HILLCREST PARK,1.33191735637819,103.806379325176
94,GREENWOOD AVENUE,289300,THE GREENWOOD,1.3349581708273,103.805342729272
58,GREENMEAD AVENUE,289447,HILLCREST PARK,1.33580521134751,103.806599953035
23,ADAM ROAD,289893,NIL,1.3275051287466,103.813153661849
17,ADAM PARK,289936,NIL,1.33061098455496,103.814188643646
18,ADAM PARK,289937,NIL,1.33111035180935,103.814136904747
19,UNIVERSITY WALK,297781,UNIVERSITY PARK,1.32460768943439,103.817337538543
7,TUDOR CLOSE,297943,DUNEARN ESTATE,1.32639197999597,103.820049715485
