Change Type,Postal Code,Building Name,Address,Building Type,Date Processed,Previous Name,Location Change (meters)
New Building,508857,6 Jalan Loyang Besar,"6 Jalan Loyang Besar, Singapore 508857",Residential,15/10/2025,,
New Building,508858,8 Jalan Loyang Besar,"8 Jalan Loyang Besar, Singapore 508858",Residential,15/10/2025,,
New Building,508859,10 Jalan Loyang Besar,"10 Jalan Loyang Besar, Singapore 508859",Residential,15/10/2025,,
New Building,509970,Sree Ramar Temple,"49 Changi Village Road Sree Ramar Temple, Singapore 509970",Non-Residential,15/10/2025,,
New Building,510591,591 Pasir Ris Green,"591 Pasir Ris Green, Singapore 510591",Residential,15/10/2025,,
New Building,510592,592 Pasir Ris Green,"592 Pasir Ris Green, Singapore 510592",Residential,15/10/2025,,
New Building,510593,593 Pasir Ris Drive 3,"593 Pasir Ris Drive 3, Singapore 510593",Residential,15/10/2025,,
New Building,510594,594 Pasir Ris Drive 3,"594 Pasir Ris Drive 3, Singapore 510594",Residential,15/10/2025,,
New Building,511591,591A Pasir Ris Green,"591A Pasir Ris Green, Singapore 511591",Residential,15/10/2025,,
New Building,511592,592A Pasir Ris Green,"592A Pasir Ris Green, Singapore 511592",Residential,15/10/2025,,
New Building,511593,593A Pasir Ris Drive 3,"593A Pasir Ris Drive 3, Singapore 511593",Residential,15/10/2025,,
New Building,511594,594A Pasir Ris Drive 3,"594A Pasir Ris Drive 3, Singapore 511594",Residential,15/10/2025,,
New Building,512591,591B Pasir Ris Green,"591B Pasir Ris Green, Singapore 512591",Residential,15/10/2025,,
New Building,512592,592B Pasir Ris Green,"592B Pasir Ris Green, Singapore 512592",Residential,15/10/2025,,
New Building,512593,593B Pasir Ris Drive 3,"593B Pasir Ris Drive 3, Singapore 512593",Residential,15/10/2025,,
New Building,512594,594B Pasir Ris Drive 3,"594B Pasir Ris Drive 3, Singapore 512594",Residential,15/10/2025,,
New Building,513593,593C Pasir Ris Drive 3,"593C Pasir Ris Drive 3, Singapore 513593",Residential,15/10/2025,,
New Building,534554,545 Upper Serangoon Road,"545 Upper Serangoon Road, Singapore 534554",Residential,15/10/2025,,
New Building,546388,12A Rosyth Road,"12A Rosyth Road, Singapore 546388",Residential,15/10/2025,,
New Building,548917,50 Hillside Drive,"50 Hillside Drive, Singapore 548917",Residential,15/10/2025,,
New Building,548918,50A Hillside Drive,"50A Hillside Drive, Singapore 548918",Residential,15/10/2025,,
New Building,548919,50B Hillside Drive,"50B Hillside Drive, Singapore 548919",Residential,15/10/2025,,
New Building,558032,Serangoon Garden Estate,"31 Cowdray Avenue Serangoon Garden Estate, Singapore 558032",Non-Residential,15/10/2025,,
New Building,559592,8A Brighton Crescent,"8A Brighton Crescent, Singapore 559592",Residential,15/10/2025,,
New Building,559593,8B Brighton Crescent,"8B Brighton Crescent, Singapore 559593",Residential,15/10/2025,,
New Building,559890,Serangoon Garden Estate,"3B Berwick Drive Serangoon Garden Estate, Singapore 559890",Non-Residential,15/10/2025,,
New Building,559991,Serangoon Garden Estate,"3C Berwick Drive Serangoon Garden Estate, Singapore 559991",Non-Residential,15/10/2025,,
New Building,559992,Serangoon Garden Estate,"3D Berwick Drive Serangoon Garden Estate, Singapore 559992",Non-Residential,15/10/2025,,
New Building,559993,Serangoon Garden Estate,"3E Berwick Drive Serangoon Garden Estate, Singapore 559993",Non-Residential,15/10/2025,,
New Building,568618,Mayflower Gardens,"29 Mayflower Road Mayflower Gardens, Singapore 568618",Non-Residential,15/10/2025,,
New Building,575557,51 Upper Thomson Road,"51 Upper Thomson Road, Singapore 575557",Residential,15/10/2025,,
New Building,578703,9L Jalan Berjaya,"9L Jalan Berjaya, Singapore 578703",Residential,15/10/2025,,
New Building,578970,Adelphi Park Estate,"13 Gardenia Road Adelphi Park Estate, Singapore 578970",Non-Residential,15/10/2025,,
New Building,601338,338A Jurong East Avenue 1,"338A Jurong East Avenue 1, Singapore 601338",Residential,15/10/2025,,
New Building,610133,133 Yung Ho Walk,"133 Yung Ho Walk, Singapore 610133",Residential,15/10/2025,,
New Building,610134,134 Yung Ho Walk,"134 Yung Ho Walk, Singapore 610134",Residential,15/10/2025,,
New Building,610135,135 Yung Ho Walk,"135 Yung Ho Walk, Singapore 610135",Residential,15/10/2025,,
New Building,610136,136 Yung Ho Walk,"136 Yung Ho Walk, Singapore 610136",Residential,15/10/2025,,
New Building,611066,66A Yung Kuang Road,"66A Yung Kuang Road, Singapore 611066",Residential,15/10/2025,,
New Building,611134,134A Yung Ho Walk,"134A Yung Ho Walk, Singapore 611134",Residential,15/10/2025,,
New Building,611135,135A Yung Ho Walk,"135A Yung Ho Walk, Singapore 611135",Residential,15/10/2025,,
New Building,611136,136A Yung Ho Walk,"136A Yung Ho Walk, Singapore 611136",Residential,15/10/2025,,
New Building,612134,134B Yung Ho Walk,"134B Yung Ho Walk, Singapore 612134",Residential,15/10/2025,,
New Building,612135,135B Yung Ho Walk,"135B Yung Ho Walk, Singapore 612135",Residential,15/10/2025,,
New Building,619657,Taman Jurong Polyclinic,"20 Yung Kuang Road Taman Jurong Polyclinic, Singapore 619657",Non-Residential,15/10/2025,,
New Building,619662,6A Yung Ho Road,"6A Yung Ho Road, Singapore 619662",Residential,15/10/2025,,
New Building,619794,21 Jalan Tukang,"21 Jalan Tukang, Singapore 619794",Residential,15/10/2025,,
New Building,619834,2G Jalan Papan,"2G Jalan Papan, Singapore 619834",Residential,15/10/2025,,
New Building,619835,2E Jalan Papan,"2E Jalan Papan, Singapore 619835",Residential,15/10/2025,,
New Building,628638,23 Lok Yang Way,"23 Lok Yang Way, Singapore 628638",Residential,15/10/2025,,
New Building,637132,10A Tuas South Avenue 12,"10A Tuas South Avenue 12, Singapore 637132",Residential,15/10/2025,,
New Building,639061,6 Tuas View Drive,"6 Tuas View Drive, Singapore 639061",Residential,15/10/2025,,
New Building,639064,24 Tuas South Avenue 10,"24 Tuas South Avenue 10, Singapore 639064",Residential,15/10/2025,,
New Building,641427,427A Jurong West Avenue 1,"427A Jurong West Avenue 1, Singapore 641427",Residential,15/10/2025,,
New Building,649920,500 Jalan Bahar,"500 Jalan Bahar, Singapore 649920",Residential,15/10/2025,,
New Building,659839,10 Bukit Batok West Avenue 9,"10 Bukit Batok West Avenue 9, Singapore 659839",Residential,15/10/2025,,
New Building,670027,27 Woodlands Road,"27 Woodlands Road, Singapore 670027",Residential,15/10/2025,,
New Building,670033,33 Woodlands Road,"33 Woodlands Road, Singapore 670033",Residential,15/10/2025,,
New Building,679350,20A Segar Road,"20A Segar Road, Singapore 679350",Residential,15/10/2025,,
New Building,699853,Depot,"5 Tengah Close Depot, Singapore 699853",Non-Residential,15/10/2025,,
New Building,699859,Depot,"3 Tengah Close Depot, Singapore 699859",Non-Residential,15/10/2025,,
New Building,719830,7 Neo Tiew Harvest Link,"7 Neo Tiew Harvest Link, Singapore 719830",Residential,15/10/2025,,
New Building,719969,103 Lim Chu Kang Lane 3,"103 Lim Chu Kang Lane 3, Singapore 719969",Residential,15/10/2025,,
New Building,730219,219 Marsiling Lane,"219 Marsiling Lane, Singapore 730219",Residential,15/10/2025,,
New Building,730220,220 Marsiling Lane,"220 Marsiling Lane, Singapore 730220",Residential,15/10/2025,,
New Building,730221,221 Marsiling Lane,"221 Marsiling Lane, Singapore 730221",Residential,15/10/2025,,
New Building,730223,223 Marsiling Lane,"223 Marsiling Lane, Singapore 730223",Residential,15/10/2025,,
New Building,730224,224 Marsiling Lane,"224 Marsiling Lane, Singapore 730224",Residential,15/10/2025,,
New Building,731219,219A Marsiling Lane,"219A Marsiling Lane, Singapore 731219",Residential,15/10/2025,,
New Building,731220,220A Marsiling Lane,"220A Marsiling Lane, Singapore 731220",Residential,15/10/2025,,
New Building,731221,221A Marsiling Lane,"221A Marsiling Lane, Singapore 731221",Residential,15/10/2025,,
New Building,731223,223A Marsiling Lane,"223A Marsiling Lane, Singapore 731223",Residential,15/10/2025,,
New Building,731224,224A Marsiling Lane,"224A Marsiling Lane, Singapore 731224",Residential,15/10/2025,,
New Building,732223,223B Marsiling Lane,"223B Marsiling Lane, Singapore 732223",Residential,15/10/2025,,
New Building,738951,80 Woodlands Drive 16,"80 Woodlands Drive 16, Singapore 738951",Residential,15/10/2025,,
New Building,739312,Woodlands Polyclinic ()annex Block),"10A Woodlands Street 31 Woodlands Polyclinic ()annex Block), Singapore 739312",Non-Residential,15/10/2025,,
New Building,739342,Woodlands Checkpoint Extension,"1 Woodlands Centre Road Woodlands Checkpoint Extension, Singapore 739342",Non-Residential,15/10/2025,,
New Building,758941,575 Sembawang Place,"575 Sembawang Place, Singapore 758941",Residential,15/10/2025,,
New Building,760962,962 Bah Soon Pah Road,"962 Bah Soon Pah Road, Singapore 760962",Residential,15/10/2025,,
New Building,760964,964 Bah Soon Pah Road,"964 Bah Soon Pah Road, Singapore 760964",Residential,15/10/2025,,
New Building,760965,965 Bah Soon Pah Road,"965 Bah Soon Pah Road, Singapore 760965",Residential,15/10/2025,,
New Building,760966,966 Bah Soon Pah Road,"966 Bah Soon Pah Road, Singapore 760966",Residential,15/10/2025,,
New Building,760967,967 Bah Soon Pah Road,"967 Bah Soon Pah Road, Singapore 760967",Residential,15/10/2025,,
New Building,760968,968 Bah Soon Pah Road,"968 Bah Soon Pah Road, Singapore 760968",Residential,15/10/2025,,
New Building,761962,962A Bah Soon Pah Road,"962A Bah Soon Pah Road, Singapore 761962",Residential,15/10/2025,,
New Building,761964,964A Bah Soon Pah Road,"964A Bah Soon Pah Road, Singapore 761964",Residential,15/10/2025,,
New Building,761965,965A Bah Soon Pah Road,"965A Bah Soon Pah Road, Singapore 761965",Residential,15/10/2025,,
New Building,761967,967A Bah Soon Pah Road,"967A Bah Soon Pah Road, Singapore 761967",Residential,15/10/2025,,
New Building,761968,968A Bah Soon Pah Road,"968A Bah Soon Pah Road, Singapore 761968",Residential,15/10/2025,,
New Building,762962,962B Bah Soon Pah Road,"962B Bah Soon Pah Road, Singapore 762962",Residential,15/10/2025,,
New Building,762964,964B Bah Soon Pah Road,"964B Bah Soon Pah Road, Singapore 762964",Residential,15/10/2025,,
New Building,762965,965B Bah Soon Pah Road,"965B Bah Soon Pah Road, Singapore 762965",Residential,15/10/2025,,
New Building,762967,967B Bah Soon Pah Road,"967B Bah Soon Pah Road, Singapore 762967",Residential,15/10/2025,,
New Building,762968,968B Bah Soon Pah Road,"968B Bah Soon Pah Road, Singapore 762968",Residential,15/10/2025,,
New Building,763965,965C Bah Soon Pah Road,"965C Bah Soon Pah Road, Singapore 763965",Residential,15/10/2025,,
New Building,798368,398 Piccadilly,"398 Piccadilly, Singapore 798368",Residential,15/10/2025,,
New Building,804198,54 Pollen Rise,"54 Pollen Rise, Singapore 804198",Residential,15/10/2025,,
New Building,804203,47 Pollen Rise,"47 Pollen Rise, Singapore 804203",Residential,15/10/2025,,
New Building,804204,48 Pollen Rise,"48 Pollen Rise, Singapore 804204",Residential,15/10/2025,,
New Building,804205,49 Pollen Rise,"49 Pollen Rise, Singapore 804205",Residential,15/10/2025,,
New Building,804206,50 Pollen Rise,"50 Pollen Rise, Singapore 804206",Residential,15/10/2025,,
New Building,804207,52 Pollen Rise,"52 Pollen Rise, Singapore 804207",Residential,15/10/2025,,
New Building,804208,42 Pollen Rise,"42 Pollen Rise, Singapore 804208",Residential,15/10/2025,,
New Building,804209,43 Pollen Rise,"43 Pollen Rise, Singapore 804209",Residential,15/10/2025,,
New Building,804210,44 Pollen Rise,"44 Pollen Rise, Singapore 804210",Residential,15/10/2025,,
New Building,804211,45 Pollen Rise,"45 Pollen Rise, Singapore 804211",Residential,15/10/2025,,
New Building,804212,46 Pollen Rise,"46 Pollen Rise, Singapore 804212",Residential,15/10/2025,,
New Building,804213,37 Pollen Rise,"37 Pollen Rise, Singapore 804213",Residential,15/10/2025,,
New Building,804214,38 Pollen Rise,"38 Pollen Rise, Singapore 804214",Residential,15/10/2025,,
New Building,804215,39 Pollen Rise,"39 Pollen Rise, Singapore 804215",Residential,15/10/2025,,
New Building,804216,40 Pollen Rise,"40 Pollen Rise, Singapore 804216",Residential,15/10/2025,,
New Building,804217,41 Pollen Rise,"41 Pollen Rise, Singapore 804217",Residential,15/10/2025,,
New Building,804218,32 Pollen Rise,"32 Pollen Rise, Singapore 804218",Residential,15/10/2025,,
New Building,804219,33 Pollen Rise,"33 Pollen Rise, Singapore 804219",Residential,15/10/2025,,
New Building,804220,34 Pollen Rise,"34 Pollen Rise, Singapore 804220",Residential,15/10/2025,,
New Building,804221,35 Pollen Rise,"35 Pollen Rise, Singapore 804221",Residential,15/10/2025,,
New Building,804222,36 Pollen Rise,"36 Pollen Rise, Singapore 804222",Residential,15/10/2025,,
New Building,804223,27 Pollen Rise,"27 Pollen Rise, Singapore 804223",Residential,15/10/2025,,
New Building,804224,28 Pollen Rise,"28 Pollen Rise, Singapore 804224",Residential,15/10/2025,,
New Building,804225,29 Pollen Rise,"29 Pollen Rise, Singapore 804225",Residential,15/10/2025,,
New Building,804226,30 Pollen Rise,"30 Pollen Rise, Singapore 804226",Residential,15/10/2025,,
New Building,804227,31 Pollen Rise,"31 Pollen Rise, Singapore 804227",Residential,15/10/2025,,
New Building,804228,22 Pollen Rise,"22 Pollen Rise, Singapore 804228",Residential,15/10/2025,,
New Building,804229,23 Pollen Rise,"23 Pollen Rise, Singapore 804229",Residential,15/10/2025,,
New Building,804230,24 Pollen Rise,"24 Pollen Rise, Singapore 804230",Residential,15/10/2025,,
New Building,804231,25 Pollen Rise,"25 Pollen Rise, Singapore 804231",Residential,15/10/2025,,
New Building,804232,26 Pollen Rise,"26 Pollen Rise, Singapore 804232",Residential,15/10/2025,,
New Building,804233,17 Pollen Rise,"17 Pollen Rise, Singapore 804233",Residential,15/10/2025,,
New Building,804234,18 Pollen Rise,"18 Pollen Rise, Singapore 804234",Residential,15/10/2025,,
New Building,804235,19 Pollen Rise,"19 Pollen Rise, Singapore 804235",Residential,15/10/2025,,
New Building,804236,20 Pollen Rise,"20 Pollen Rise, Singapore 804236",Residential,15/10/2025,,
New Building,804237,21 Pollen Rise,"21 Pollen Rise, Singapore 804237",Residential,15/10/2025,,
New Building,804238,12 Pollen Rise,"12 Pollen Rise, Singapore 804238",Residential,15/10/2025,,
New Building,804239,13 Pollen Rise,"13 Pollen Rise, Singapore 804239",Residential,15/10/2025,,
New Building,804240,14 Pollen Rise,"14 Pollen Rise, Singapore 804240",Residential,15/10/2025,,
New Building,804241,15 Pollen Rise,"15 Pollen Rise, Singapore 804241",Residential,15/10/2025,,
New Building,804242,16 Pollen Rise,"16 Pollen Rise, Singapore 804242",Residential,15/10/2025,,
New Building,804243,7 Pollen Rise,"7 Pollen Rise, Singapore 804243",Residential,15/10/2025,,
New Building,804244,8 Pollen Rise,"8 Pollen Rise, Singapore 804244",Residential,15/10/2025,,
New Building,804245,9 Pollen Rise,"9 Pollen Rise, Singapore 804245",Residential,15/10/2025,,
New Building,804246,10 Pollen Rise,"10 Pollen Rise, Singapore 804246",Residential,15/10/2025,,
New Building,804247,11 Pollen Rise,"11 Pollen Rise, Singapore 804247",Residential,15/10/2025,,
New Building,804248,2 Pollen Rise,"2 Pollen Rise, Singapore 804248",Residential,15/10/2025,,
New Building,804249,3 Pollen Rise,"3 Pollen Rise, Singapore 804249",Residential,15/10/2025,,
New Building,804250,4 Pollen Rise,"4 Pollen Rise, Singapore 804250",Residential,15/10/2025,,
New Building,804251,5 Pollen Rise,"5 Pollen Rise, Singapore 804251",Residential,15/10/2025,,
New Building,804252,6 Pollen Rise,"6 Pollen Rise, Singapore 804252",Residential,15/10/2025,,
New Building,804253,1 Pollen Rise,"1 Pollen Rise, Singapore 804253",Residential,15/10/2025,,
New Building,804254,58 Pollen Lane,"58 Pollen Lane, Singapore 804254",Residential,15/10/2025,,
New Building,804255,60 Pollen Lane,"60 Pollen Lane, Singapore 804255",Residential,15/10/2025,,
New Building,804259,52 Pollen Lane,"52 Pollen Lane, Singapore 804259",Residential,15/10/2025,,
New Building,804260,53 Pollen Lane,"53 Pollen Lane, Singapore 804260",Residential,15/10/2025,,
New Building,804261,54 Pollen Lane,"54 Pollen Lane, Singapore 804261",Residential,15/10/2025,,
New Building,804262,55 Pollen Lane,"55 Pollen Lane, Singapore 804262",Residential,15/10/2025,,
New Building,804263,56 Pollen Lane,"56 Pollen Lane, Singapore 804263",Residential,15/10/2025,,
New Building,804264,47 Pollen Lane,"47 Pollen Lane, Singapore 804264",Residential,15/10/2025,,
New Building,804265,48 Pollen Lane,"48 Pollen Lane, Singapore 804265",Residential,15/10/2025,,
New Building,804266,49 Pollen Lane,"49 Pollen Lane, Singapore 804266",Residential,15/10/2025,,
New Building,804267,50 Pollen Lane,"50 Pollen Lane, Singapore 804267",Residential,15/10/2025,,
New Building,804268,51 Pollen Lane,"51 Pollen Lane, Singapore 804268",Residential,15/10/2025,,
New Building,804269,42 Pollen Lane,"42 Pollen Lane, Singapore 804269",Residential,15/10/2025,,
New Building,804270,43 Pollen Lane,"43 Pollen Lane, Singapore 804270",Residential,15/10/2025,,
New Building,804271,44 Pollen Lane,"44 Pollen Lane, Singapore 804271",Residential,15/10/2025,,
New Building,804272,45 Pollen Lane,"45 Pollen Lane, Singapore 804272",Residential,15/10/2025,,
New Building,804273,46 Pollen Lane,"46 Pollen Lane, Singapore 804273",Residential,15/10/2025,,
New Building,804274,037 Pollen Lane,"037 Pollen Lane, Singapore 804274",Residential,15/10/2025,,
New Building,804275,38 Pollen Lane,"38 Pollen Lane, Singapore 804275",Residential,15/10/2025,,
